"No.","Time","Source","Destination","Protocol","Length","Info"
"2096","4.535675525","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=189 Ack=99427 Win=9617 Len=0 TSval=2474327533 TSecr=519151071"
"2097","4.544451985","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ALTITUDE"
"2098","4.544488684","10.76.105.1","10.244.105.1","MAVLink 2.0","106","ATTITUDE"
"2099","4.544499809","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ATTITUDE_QUATERNION"
"2100","4.544509109","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ATTITUDE_TARGET"
"2101","4.544517746","10.76.105.1","10.244.105.1","MAVLink 2.0","139","HIGHRES_IMU"
"2102","4.544526320","10.76.105.1","10.244.105.1","MAVLink 2.0","102","SCALED_IMU"
"2103","4.544535187","10.76.105.1","10.244.105.1","MAVLink 2.0","99","SERVO_OUTPUT_RAW"
"2104","4.546060229","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=189 Ack=99741 Win=9617 Len=0 TSval=2474327544 TSecr=519151074"
"2105","4.553489473","10.76.105.1","10.244.105.1","MAVLink 2.0","106","ATTITUDE"
"2106","4.553522940","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ATTITUDE_QUATERNION"
"2107","4.553533822","10.76.105.1","10.244.105.1","MAVLink 2.0","139","HIGHRES_IMU"
"2108","4.553542428","10.76.105.1","10.244.105.1","MAVLink 2.0","90","SERVO_OUTPUT_RAW"
"2109","4.553550564","10.76.105.1","10.244.105.1","MAVLink 2.0","95","VFR_HUD"
"2110","4.562352862","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=189 Ack=99951 Win=9617 Len=0 TSval=2474327560 TSecr=519151097"
"2111","4.562541504","10.76.105.1","10.244.105.1","MAVLink 2.0","310","ODOMETRY"
"2112","4.562644173","10.76.105.1","10.244.105.1","MAVLink 2.0","118","ACTUATOR_CONTROL_TARGET"
"2113","4.562795656","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=189 Ack=100247 Win=9617 Len=0 TSval=2474327560 TSecr=519151102"
"2114","4.580746705","10.76.105.1","10.244.105.1","MAVLink 2.0","106","ATTITUDE"
"2115","4.580810153","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ATTITUDE_QUATERNION"
"2116","4.580826133","10.76.105.1","10.244.105.1","MAVLink 2.0","140","HIGHRES_IMU"
"2117","4.580838590","10.76.105.1","10.244.105.1","MAVLink 2.0","120","RC_CHANNELS"
"2118","4.580978273","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=189 Ack=100459 Win=9617 Len=0 TSval=2474327579 TSecr=519151118"
"2119","4.589470960","10.76.105.1","10.244.105.1","MAVLink 2.0","102","SCALED_IMU"
"2120","4.607846808","10.76.105.1","10.244.105.1","MAVLink 2.0","310","ODOMETRY"
"2121","4.607925394","10.76.105.1","10.244.105.1","MAVLink 2.0","118","ACTUATOR_CONTROL_TARGET"
"2122","4.607942035","10.76.105.1","10.244.105.1","MAVLink 2.0","106","ATTITUDE"
"2123","4.607955297","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ATTITUDE_QUATERNION"
"2124","4.607968685","10.76.105.1","10.244.105.1","MAVLink 2.0","140","HIGHRES_IMU"
"2125","4.607981826","10.76.105.1","10.244.105.1","MAVLink 2.0","99","SERVO_OUTPUT_RAW"
"2126","4.607995093","10.76.105.1","10.244.105.1","MAVLink 2.0","79","MISSION_CURRENT"
"2127","4.608009749","10.76.105.1","10.244.105.1","MAVLink 2.0","90","SERVO_OUTPUT_RAW"
"2128","4.608022633","10.76.105.1","10.244.105.1","MAVLink 2.0","95","VFR_HUD"
"2129","4.608088146","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=189 Ack=101048 Win=9617 Len=0 TSval=2474327606 TSecr=519151128"
"2130","4.616569020","10.76.105.1","10.244.105.1","MAVLink 2.0","106","ATTITUDE"
